service_id,date,exception_type
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324-MFVLV09_ST21_9_HI2324,20240105,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231118,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231125,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231226,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231227,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231228,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231229,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231202,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231209,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231216,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231223,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20231230,1
1234567-MFHS12_ST5_12_HI2324-MFHS13_ST5_13_HI2324-MFHS14_ST5_14_HI2324,20240106,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231107,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231108,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231109,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231110,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231113,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231114,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231115,1
12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,20231116,1
