route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
19,27971787,"Sassenage, L'Ovalie",12345-MSILV00_ST21_0_HI2324,1,SEM_19_2,1,2
13,28029743,"Poisat, Cimetière Intercommunal",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,0,SEM_13_1,1,2
E,28171103,"Fontanil-Cornillon, Palluel",12345-MGHLV14_ST0_14_HI2324,1,SEM_E_1,1,2
2,27985068,"Grenoble, Louise Michel",1234567-MEHS00_ST5_0_HI2324-MEHS04_ST5_4_HI2324,1,SEM_C2_1,1,2
B,27954185,"Gières, Plaine des Sports",1234567-MGHS01_ST5_1_HI2324-MGHS04_ST5_4_HI2324,0,SEM_B_1,1,2
5,27919738,"Grenoble, Palais de Justice - Gare",12345-MSHLVH03_ST8_3_HI2324-MSHLVH04_ST8_4_HI2324-MSHLW03_ST11_3_HI2324-MSHLW04_ST11_4_HI2324,0,SEM_C5_1,1,2
E,27953593,"Grenoble, Louise Michel",1234567-MGHS01_ST5_1_HI2324-MGHS04_ST5_4_HI2324,0,SEM_E_2,1,2
B,28232788,"Grenoble, Oxford",12345-MGHLV12_ST0_12_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_B_2,1,2
3,28030551,"Grenoble, Victor Hugo",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,0,SEM_C3_1,1,2
5,27803262,"Grenoble, Palais de Justice - Gare",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,0,SEM_C5_1,1,2
E,28075844,"Fontanil-Cornillon, Palluel",1234567-MGHS03_ST5_3_HI2324,1,SEM_E_5,1,2
E,28110829,"Fontanil-Cornillon, Palluel",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324-MGHLV10_ST0_10_HI2324-MGHLV11_ST0_11_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_E_1,1,2
41,28020652,"Corenc, La Garenne",12345-MFVLV09_ST21_9_HI2324,0,SEM_41_1,1,2
B,28232810,"Gières, Plaine des Sports",12345-MGHLV12_ST0_12_HI2324-MGHLV13_ST0_13_HI2324,0,SEM_B_1,1,2
14,28008725,"Grenoble, Verdun - Préfecture",12345-MAVLV00_ST21_0_HI2324,0,SEM_14_5,1,2
16,27810277,"Le Pont-de-Claix, Gendarmerie",1234567-MSHDF04_ST6_4_HI2324-MSHDF05_ST6_5_HI2324-MSHDF07_ST6_7_HI2324,1,SEM_16_2,1,2
60,28018165,"Saint-Égrève, Muret",**3**-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,0,SEM_60_1,1,2
